year;month;day;hour;weekday;temp;blackout;phases;deenergized;function
2021;10;13;12;3;9.9;0;0;0;1.747
2021;10;13;13;3;9.3;0;0;0;1.731
2021;10;13;14;3;9.9;0;0;0;1.72
2021;10;13;15;3;8.9;0;0;0;1.692
2021;10;13;16;3;8.5;0;0;0;1.665
2021;10;13;17;3;7.9;0;0;0;1.641
2021;10;13;18;3;7.9;0;0;0;1.645
2021;10;13;19;3;7.3;0;0;0;1.704
2021;10;13;20;3;6.9;0;0;0;1.727
2021;10;13;21;3;6.9;0;0;0;1.692
2021;10;13;22;3;7;0;0;0;1.633
2021;10;13;23;3;6.9;0;0;0;1.499
2021;10;13;24;3;6.9;0;0;0;1.334
2021;10;14;1;4;6.9;0;0;0;1.157
2021;10;14;2;4;6.9;0;0;0;0.996
2021;10;14;3;4;5.9;0;0;0;0.913
2021;10;14;4;4;5.5;0;0;0;0.87
2021;10;14;5;4;2.9;0;0;0;0.858
2021;10;14;6;4;2.9;0;0;0;0.881
2021;10;14;7;4;4.2;0;0;0;0.964
2021;10;14;8;4;4.9;0;0;0;1.062
2021;10;14;9;4;7.9;0;0;0;1.243
2021;10;14;10;4;8.7;0;0;0;1.405
2021;10;14;11;4;10.9;0;0;0;1.495
2021;10;14;12;4;9.9;0;0;0;1.507
2021;10;14;13;4;10.5;0;0;0;1.476
2021;10;14;14;4;9.9;0;0;0;1.444
2021;10;14;15;4;9.9;0;0;0;1.417
2021;10;14;16;4;9.6;0;0;0;1.401
2021;10;14;17;4;6.9;0;0;0;1.409
2021;10;14;18;4;5.9;0;0;0;1.417
2021;10;14;19;4;6.7;0;0;0;1.48
2021;10;14;20;4;4.9;0;0;0;1.546
2021;10;14;21;4;2.9;0;0;0;1.535
2021;10;14;22;4;5.3;0;0;0;1.507
2021;10;14;23;4;2.9;0;0;0;1.413
2021;10;14;24;4;1.9;0;0;0;1.279
2021;10;15;1;5;4.1;0;0;0;1.121
2021;10;15;2;5;-1.1;0;0;0;0.988
2021;10;15;3;5;-0.1;0;0;0;0.909
2021;10;15;4;5;2.7;0;0;0;0.87
2021;10;15;5;5;-1.1;0;0;0;0.858
2021;10;15;6;5;0.9;0;0;0;0.885
2021;10;15;7;5;1.8;0;0;0;0.964
2021;10;15;8;5;5.9;0;0;0;1.07
2021;10;15;9;5;8.9;0;0;0;1.255
2021;10;15;10;5;11.2;0;0;0;1.44
2021;10;15;11;5;12.9;0;0;0;1.531
2021;10;15;12;5;12.9;0;0;0;1.515
2021;10;15;13;5;14.2;0;0;0;1.48
2021;10;15;14;5;13.9;0;0;0;1.452
2021;10;15;15;5;12.9;0;0;0;1.417
2021;10;15;16;5;12;0;0;0;1.381
2021;10;15;17;5;8.9;0;0;0;1.358
2021;10;15;18;5;7.9;0;0;0;1.373
2021;10;15;19;5;7.8;0;0;0;1.464
2021;10;15;20;5;7.9;0;0;0;1.535
2021;10;15;21;5;6.9;0;0;0;1.523
2021;10;15;22;5;6.9;0;0;0;1.483
2021;10;15;23;5;4.9;0;0;0;1.397
2021;10;15;24;5;3.9;0;0;0;1.259
2021;10;16;1;6;5.5;0;0;0;1.11
2021;10;16;2;6;2.9;0;0;0;0.976
2021;10;16;3;6;3.9;0;0;0;0.901
2021;10;16;4;6;4.9;0;0;0;0.862
2021;10;16;5;6;5.9;0;0;0;0.85
2021;10;16;6;6;6.9;0;0;0;0.862
2021;10;16;7;6;5.1;0;0;0;0.929
2021;10;16;8;6;7.9;0;0;0;0.992
2021;10;16;9;6;8.9;0;0;0;1.157
2021;10;16;10;6;9.2;0;0;0;1.338
2021;10;16;11;6;11.9;0;0;0;1.468
2021;10;16;12;6;12.9;0;0;0;1.487
2021;10;16;13;6;14.8;0;0;0;1.468
2021;10;16;14;6;13.9;0;0;0;1.421
2021;10;16;15;6;13.9;0;0;0;1.377
2021;10;16;16;6;11.8;0;0;0;1.338
2021;10;16;17;6;9.9;0;0;0;1.318
2021;10;16;18;6;10.9;0;0;0;1.334
2021;10;16;19;6;10.5;0;0;0;1.44
2021;10;16;20;6;8.9;0;0;0;1.503
2021;10;16;21;6;7.9;0;0;0;1.507
2021;10;16;22;6;8;0;0;0;1.472
2021;10;16;23;6;5.9;0;0;0;1.369
2021;10;16;24;6;5.9;0;0;0;1.247
2021;10;17;1;7;7.2;0;0;0;1.106
2021;10;17;2;7;3.9;0;0;0;0.972
2021;10;17;3;7;2.9;0;0;0;0.889
2021;10;17;4;7;6.2;0;0;0;0.846
2021;10;17;5;7;3.9;0;0;0;0.83
2021;10;17;6;7;4.9;0;0;0;0.842
2021;10;17;7;7;6.7;0;0;0;0.901
2021;10;17;8;7;7.9;0;0;0;0.956
2021;10;17;9;7;9.9;0;0;0;1.106
2021;10;17;10;7;11.6;0;0;0;1.279
2021;10;17;11;7;10.9;0;0;0;1.397
2021;10;17;12;7;10.9;0;0;0;1.421
2021;10;17;13;7;11.1;0;0;0;1.432
2021;10;17;14;7;9.9;0;0;0;1.424
2021;10;17;15;7;9.9;0;0;0;1.401
2021;10;17;16;7;9.3;0;0;0;1.405
2021;10;17;17;7;8.9;0;0;0;1.44
2021;10;17;18;7;7.9;0;0;0;1.507
2021;10;17;19;7;8.6;0;0;0;1.609
2021;10;17;20;7;7.9;0;0;0;1.684
2021;10;17;21;7;5.9;0;0;0;1.684
2021;10;17;22;7;6.3;0;0;0;1.645
2021;10;17;23;7;4.9;0;0;0;1.503
2021;10;17;24;7;2.9;0;0;0;1.326
2021;10;18;1;1;5;0;0;0;1.141
2021;10;18;2;1;3.9;0;0;0;0.992
2021;10;18;3;1;3.9;0;0;0;0.913
2021;10;18;4;1;5.4;0;0;0;0.87
2021;10;18;5;1;4.9;0;0;0;0.866
2021;10;18;6;1;5.9;0;0;0;0.925
2021;10;18;7;1;6.2;0;0;0;1.129
2021;10;18;8;1;6.9;0;0;0;1.409
2021;10;18;9;1;7.9;0;0;0;1.617
2021;10;18;10;1;8.6;0;0;0;1.806
2021;10;18;11;1;9.9;0;0;0;1.881
2021;10;18;12;1;10.9;0;0;0;1.877
2021;10;18;13;1;10.5;0;0;0;1.849
2021;10;18;14;1;9.9;0;0;0;1.822
2021;10;18;15;1;9.9;0;0;0;1.798
2021;10;18;16;1;9.7;0;0;0;1.771
2021;10;18;17;1;6.9;0;0;0;1.739
2021;10;18;18;1;7.9;0;0;0;1.724
2021;10;18;19;1;7.5;0;0;0;1.783
2021;10;18;20;1;5.9;0;0;0;1.846
2021;10;18;21;1;5.9;0;0;0;1.838
2021;10;18;22;1;6.8;0;0;0;1.786
2021;10;18;23;1;5.9;0;0;0;1.629
2021;10;18;24;1;5.9;0;0;0;1.421
2021;10;19;1;2;4.9;0;0;0;1.208
2021;10;19;2;2;3.9;0;0;0;1.047
2021;10;19;3;2;2.9;0;0;0;0.956
2021;10;19;4;2;3.5;0;0;0;0.925
2021;10;19;5;2;1.9;0;0;0;0.921
2021;10;19;6;2;0.9;0;0;0;0.976
2021;10;19;7;2;3.3;0;0;0;1.188
2021;10;19;8;2;4.9;0;0;0;1.476
2021;10;19;9;2;7.9;0;0;0;1.668
2021;10;19;10;2;8.9;0;0;0;1.802
2021;10;19;11;2;9.9;0;0;0;1.842
2021;10;19;12;2;9.9;0;0;0;1.806
2021;10;19;13;2;10.6;0;0;0;1.783
2021;10;19;14;2;9.9;0;0;0;1.755
2021;10;19;15;2;9.9;0;0;0;1.716
2021;10;19;16;2;8.9;0;0;0;1.672
2021;10;19;17;2;4.9;0;0;0;1.653
2021;10;19;18;2;3.9;0;0;0;1.657
2021;10;19;19;2;5.5;0;0;0;1.771
2021;10;19;20;2;-0.1;0;0;0;1.846
2021;10;19;21;2;-0.1;0;0;0;1.853
2021;10;19;22;2;3;0;0;0;1.81
2021;10;19;23;2;-2.1;0;0;0;1.657
2021;10;19;24;2;-2.1;0;0;0;1.46
2021;10;20;1;3;1.2;0;0;0;1.255
2021;10;20;2;3;-2.1;0;0;0;1.09
2021;10;20;3;3;-3.1;0;0;0;0.992
2021;10;20;4;3;1.9;0;0;0;0.944
2021;10;20;5;3;-0.1;0;0;0;0.937
2021;10;20;6;3;4.9;0;0;0;0.999
2021;10;20;7;3;1.8;0;0;0;1.2
2021;10;20;8;3;6.9;0;0;0;1.491
2021;10;20;9;3;9.9;0;0;0;1.7
2021;10;20;10;3;11.6;0;0;0;1.838
2021;10;20;11;3;12.9;0;0;0;1.877
2021;10;20;12;3;13.9;0;0;0;1.853
2021;10;20;13;3;14.7;0;0;0;1.79
