year;month;day;hour;weekday;temp;blackout;phases;deenergized
2024;11;17;13;7;9.4;0;0;0
2024;11;17;14;7;8.6;0;0;0
2024;11;17;15;7;7.7;0;0;0
2024;11;17;16;7;6.3;0;0;0
2024;11;17;17;7;5.8;0;0;0
2024;11;17;18;7;5.4;0;0;0
2024;11;17;19;7;3.9;0;0;0
2024;11;17;20;7;4.5;0;0;0
2024;11;17;21;7;4.2;0;0;0
2024;11;17;22;7;3.1;0;0;0
2024;11;17;23;7;2.8;0;0;0
2024;11;17;24;7;2.5;0;0;0
2024;11;18;1;1;2.2;1;0;0
2024;11;18;2;1;2.1;1;0;0
2024;11;18;3;1;1.9;1;0;0
2024;11;18;4;1;1.8;1;0;0
2024;11;18;5;1;1.8;1;0;0
2024;11;18;6;1;1.9;1;0;0
2024;11;18;7;1;2.3;1;3;0
2024;11;18;8;1;2.9;1;3;0
2024;11;18;9;1;3.8;1;3;0
2024;11;18;10;1;4.7;1;3;0
2024;11;18;11;1;5.3;1;3;0
2024;11;18;12;1;5.9;1;3;0
2024;11;18;13;1;5.8;1;3;0
2024;11;18;14;1;5.9;1;3;0
2024;11;18;15;1;5.3;1;3;0
2024;11;18;16;1;4.7;1;3;0
2024;11;18;17;1;4.3;1;3;0
2024;11;18;18;1;4.0;1;3;0
2024;11;18;19;1;5.1;1;3;0
2024;11;18;20;1;3.6;1;3;0
2024;11;18;21;1;3.4;1;3;0
2024;11;18;22;1;3.2;1;3;0
2024;11;18;23;1;3.7;1;0;0
2024;11;18;24;1;3.5;1;0;0
2024;11;19;1;2;1.4;1;0;0
2024;11;19;2;2;3.3;1;0;0
2024;11;19;3;2;3.1;1;0;0
2024;11;19;4;2;3.0;1;0;0
2024;11;19;5;2;2.8;1;0;0
2024;11;19;6;2;2.7;1;0;0
2024;11;19;7;2;2.5;1;3;0
2024;11;19;8;2;3.0;1;3;0
2024;11;19;9;2;3.6;1;3;0
2024;11;19;10;2;4.1;1;3;0
2024;11;19;11;2;5.4;1;3;0
2024;11;19;12;2;5.8;1;3;0
2024;11;19;13;2;5.2;1;3;0
2024;11;19;14;2;5.3;1;3;0
2024;11;19;15;2;4.5;1;3;0
2024;11;19;16;2;3.6;1;3;0
2024;11;19;17;2;3.2;1;3;0
2024;11;19;18;2;3.1;1;3;0
2024;11;19;19;2;1.1;1;3;0
2024;11;19;20;2;3.0;1;3;0
2024;11;19;21;2;3.1;1;3;0
2024;11;19;22;2;3.2;1;3;0
2024;11;19;23;2;2.1;1;3;0
2024;11;19;24;2;2.4;1;0;0
2024;11;20;1;3;3.1;1;0;0
2024;11;20;2;3;2.9;1;0;0
2024;11;20;3;3;3.3;1;0;0
2024;11;20;4;3;3.6;1;0;0
2024;11;20;5;3;5.6;1;0;0
2024;11;20;6;3;5.6;1;0;0
2024;11;20;7;3;5.9;1;3;0
2024;11;20;8;3;6.5;1;3;0
